location,section,level / floor,trade,state,start_date,complete_date,capture_date
ADMIN ASSISTANT 125,C,1,Wall Drywall,complete,,,2025/07/07
ADMIN ASSISTANT 125,C,1,Wall Drywall Finish,complete,,,2025/07/07
ADMIN ASSISTANT 125,C,1,Wall Prime Paint,complete,,,2025/07/07
ADMIN ASSISTANT 125,C,1,In Wall Insulation,no capture,,,2025/07/17
ADMIN ASSISTANT 125,C,1,Overhead Duct Insulation,in progress,,2025/07/25,2025/07/17
ADMIN ASSISTANT 125,C,1,Overhead Duct Rough In,no capture,,,2025/07/17
ADMIN ASSISTANT 125,C,1,Overhead Plumbing,not started,,,2025/07/17
ADMIN ASSISTANT 125,C,1,Wall Drywall,complete,,,2025/07/17
ADMIN ASSISTANT 125,C,1,Wall Drywall Finish,complete,,,2025/07/17
ADMIN ASSISTANT 125,C,1,Wall Prime Paint,complete,,,2025/07/17
ADMIN ASSISTANT 125,C,1,In Wall Insulation,no capture,,,2025/07/25
ADMIN ASSISTANT 125,C,1,Overhead Duct Insulation,complete,,2025/07/25,2025/07/25
ADMIN ASSISTANT 125,C,1,Overhead Duct Rough In,in progress,,,2025/07/25
ADMIN ASSISTANT 125,C,1,Overhead Plumbing,not started,,,2025/07/25
ADMIN ASSISTANT 125,C,1,Wall Drywall,complete,,,2025/07/25
ADMIN ASSISTANT 125,C,1,Wall Drywall Finish,complete,,,2025/07/25
ADMIN ASSISTANT 125,C,1,Wall Prime Paint,complete,,,2025/07/25
ADMIN ASSISTANT 125,C,1,In Wall Insulation,no capture,,,2025/08/01
ADMIN ASSISTANT 125,C,1,Overhead Duct Insulation,complete,,2025/07/25,2025/08/01
ADMIN ASSISTANT 125,C,1,Overhead Duct Rough In,in progress,,,2025/08/01
ADMIN ASSISTANT 125,C,1,Overhead Plumbing,not started,,,2025/08/01
ADMIN ASSISTANT 125,C,1,Wall Drywall,complete,,,2025/08/01
ADMIN ASSISTANT 125,C,1,Wall Drywall Finish,complete,,,2025/08/01
ADMIN ASSISTANT 125,C,1,Wall Prime Paint,complete,,,2025/08/01
ADMIN ASSISTANT 125,C,1,In Wall Insulation,no capture,,,2025/08/06
ADMIN ASSISTANT 125,C,1,Overhead Duct Insulation,no capture,,2025/07/25,2025/08/06
ADMIN ASSISTANT 125,C,1,Overhead Duct Rough In,no capture,,,2025/08/06
ADMIN ASSISTANT 125,C,1,Overhead Plumbing,no capture,,,2025/08/06
ADMIN ASSISTANT 125,C,1,Wall Drywall,no capture,,,2025/08/06
ADMIN ASSISTANT 125,C,1,Wall Drywall Finish,no capture,,,2025/08/06
ADMIN ASSISTANT 125,C,1,Wall Prime Paint,complete,,,2025/08/06
ADMIN ASSISTANT 125,C,1,In Wall Insulation,no capture,,,2025/08/08
ADMIN ASSISTANT 125,C,1,Overhead Duct Insulation,complete,,2025/07/25,2025/08/08
ADMIN ASSISTANT 125,C,1,Overhead Duct Rough In,complete,,,2025/08/08
ADMIN ASSISTANT 125,C,1,Overhead Plumbing,no capture,,,2025/08/08
ADMIN ASSISTANT 125,C,1,Wall Drywall,complete,,,2025/08/08
ADMIN ASSISTANT 125,C,1,Wall Drywall Finish,complete,,,2025/08/08
ADMIN ASSISTANT 125,C,1,Wall Prime Paint,complete,,,2025/08/08
ADMIN ASSISTANT 125,C,1,In Wall Insulation,no capture,,,2025/08/12
ADMIN ASSISTANT 125,C,1,Overhead Duct Insulation,complete,,2025/07/25,2025/08/12
ADMIN ASSISTANT 125,C,1,Overhead Duct Rough In,no capture,,,2025/08/12
ADMIN ASSISTANT 125,C,1,Overhead Plumbing,no capture,,,2025/08/12
ADMIN ASSISTANT 125,C,1,Wall Drywall,complete,,,2025/08/12
ADMIN ASSISTANT 125,C,1,Wall Drywall Finish,complete,,,2025/08/12
ADMIN ASSISTANT 125,C,1,Wall Prime Paint,complete,,,2025/08/12
ANALYSIS SUPERVISOR 216,C,2,Wall Drywall Finish,in progress,,,2025/04/17
ANALYSIS SUPERVISOR 216,C,2,Wall Drywall,in progress,,,2025/04/17
ANALYSIS SUPERVISOR 216,C,2,In Wall Insulation,in progress,,,2025/04/17
ANALYSIS SUPERVISOR 216,C,2,Overhead Duct Insulation,not started,,,2025/04/17
ANALYSIS SUPERVISOR 216,C,2,Overhead Duct Rough In,not started,,,2025/04/17
ANALYSIS SUPERVISOR 216,C,2,Overhead Plumbing,not started,,,2025/04/17
ANALYSIS SUPERVISOR 216,C,2,Wall Prime Paint,not started,,,2025/04/17
ANALYSIS SUPERVISOR 217,C,2,Wall Drywall Finish,in progress,,,2025/04/17
ANALYSIS SUPERVISOR 217,C,2,Wall Drywall,in progress,,,2025/04/17
ANALYSIS SUPERVISOR 217,C,2,In Wall Insulation,in progress,,,2025/04/17
ANALYSIS SUPERVISOR 217,C,2,Overhead Duct Insulation,not started,,,2025/04/17
ANALYSIS SUPERVISOR 217,C,2,Overhead Duct Rough In,not started,,,2025/04/17
ANALYSIS SUPERVISOR 217,C,2,Overhead Plumbing,not started,,,2025/04/17
ANALYSIS SUPERVISOR 217,C,2,Wall Prime Paint,not started,,,2025/04/17
AV ROOM 103,C,1,Wall Drywall Finish,in progress,,2025/05/14,2025/04/11
AV ROOM 103,C,1,Wall Drywall,in progress,,2025/05/14,2025/04/11
AV ROOM 103,C,1,In Wall Insulation,complete,,,2025/04/11
AV ROOM 103,C,1,Overhead Duct Insulation,in progress,,,2025/04/11
AV ROOM 103,C,1,Overhead Duct Rough In,in progress,,,2025/04/11
AV ROOM 103,C,1,Overhead Plumbing,not started,,,2025/04/11
AV ROOM 103,C,1,Wall Prime Paint,not started,2025/05/06,2025/06/06,2025/04/11
AV ROOM 103,C,1,Wall Drywall Finish,in progress,,2025/05/14,2025/04/25
AV ROOM 103,C,1,Wall Drywall,in progress,,2025/05/14,2025/04/25
AV ROOM 103,C,1,In Wall Insulation,complete,,,2025/04/25
AV ROOM 103,C,1,Overhead Duct Insulation,in progress,,,2025/04/25
AV ROOM 103,C,1,Overhead Duct Rough In,in progress,,,2025/04/25
AV ROOM 103,C,1,Overhead Plumbing,not started,,,2025/04/25
AV ROOM 103,C,1,Wall Prime Paint,not started,2025/05/06,2025/06/06,2025/04/25
AV ROOM 103,C,1,Wall Drywall Finish,in progress,,2025/05/14,2025/05/06
AV ROOM 103,C,1,Wall Drywall,in progress,,2025/05/14,2025/05/06
AV ROOM 103,C,1,In Wall Insulation,complete,,,2025/05/06
AV ROOM 103,C,1,Overhead Duct Insulation,in progress,,,2025/05/06
AV ROOM 103,C,1,Overhead Duct Rough In,in progress,,,2025/05/06
AV ROOM 103,C,1,Overhead Plumbing,not started,,,2025/05/06
AV ROOM 103,C,1,Wall Prime Paint,in progress,2025/05/06,2025/06/06,2025/05/06
AV ROOM 103,C,1,Wall Drywall Finish,in progress,,2025/05/14,2025/05/07
AV ROOM 103,C,1,Wall Drywall,in progress,,2025/05/14,2025/05/07
AV ROOM 103,C,1,In Wall Insulation,complete,,,2025/05/07
AV ROOM 103,C,1,Overhead Duct Insulation,in progress,,,2025/05/07
AV ROOM 103,C,1,Overhead Duct Rough In,in progress,,,2025/05/07
AV ROOM 103,C,1,Overhead Plumbing,not started,,,2025/05/07
AV ROOM 103,C,1,Wall Prime Paint,in progress,2025/05/06,2025/06/06,2025/05/07
AV ROOM 103,C,1,Wall Drywall Finish,complete,,2025/05/14,2025/05/14
AV ROOM 103,C,1,Wall Drywall,complete,,2025/05/14,2025/05/14
AV ROOM 103,C,1,In Wall Insulation,complete,,,2025/05/14
AV ROOM 103,C,1,Overhead Duct Insulation,in progress,,,2025/05/14
AV ROOM 103,C,1,Overhead Duct Rough In,in progress,,,2025/05/14
AV ROOM 103,C,1,Overhead Plumbing,not started,,,2025/05/14
AV ROOM 103,C,1,Wall Prime Paint,in progress,2025/05/06,2025/06/06,2025/05/14
AV ROOM 103,C,1,In Wall Insulation,complete,,,2025/05/30
AV ROOM 103,C,1,Overhead Duct Insulation,in progress,,,2025/05/30
AV ROOM 103,C,1,Overhead Duct Rough In,in progress,,,2025/05/30
AV ROOM 103,C,1,Overhead Plumbing,not started,,,2025/05/30
AV ROOM 103,C,1,Wall Drywall,complete,,2025/05/14,2025/05/30
AV ROOM 103,C,1,Wall Drywall Finish,complete,,2025/05/14,2025/05/30
AV ROOM 103,C,1,Wall Prime Paint,in progress,2025/05/06,2025/06/06,2025/05/30
AV ROOM 103,C,1,In Wall Insulation,no capture,,,2025/06/06
AV ROOM 103,C,1,Overhead Duct Insulation,no capture,,,2025/06/06
AV ROOM 103,C,1,Overhead Duct Rough In,no capture,,,2025/06/06
AV ROOM 103,C,1,Overhead Plumbing,no capture,,,2025/06/06
AV ROOM 103,C,1,Wall Drywall,complete,,2025/05/14,2025/06/06
AV ROOM 103,C,1,Wall Drywall Finish,complete,,2025/05/14,2025/06/06
AV ROOM 103,C,1,Wall Prime Paint,complete,2025/05/06,2025/06/06,2025/06/06
AV ROOM 103,C,1,In Wall Insulation,no capture,,,2025/06/13
AV ROOM 103,C,1,Overhead Duct Insulation,no capture,,,2025/06/13
AV ROOM 103,C,1,Overhead Duct Rough In,no capture,,,2025/06/13
AV ROOM 103,C,1,Overhead Plumbing,no capture,,,2025/06/13
AV ROOM 103,C,1,Wall Drywall,complete,,2025/05/14,2025/06/13
AV ROOM 103,C,1,Wall Drywall Finish,complete,,2025/05/14,2025/06/13
AV ROOM 103,C,1,Wall Prime Paint,complete,2025/05/06,2025/06/06,2025/06/13
AV ROOM 103,C,1,In Wall Insulation,no capture,,,2025/06/20
AV ROOM 103,C,1,Overhead Duct Insulation,no capture,,,2025/06/20
AV ROOM 103,C,1,Overhead Duct Rough In,no capture,,,2025/06/20
AV ROOM 103,C,1,Overhead Plumbing,no capture,,,2025/06/20
AV ROOM 103,C,1,Wall Drywall,complete,,2025/05/14,2025/06/20
AV ROOM 103,C,1,Wall Drywall Finish,complete,,2025/05/14,2025/06/20
AV ROOM 103,C,1,Wall Prime Paint,complete,2025/05/06,2025/06/06,2025/06/20
AV ROOM 103,C,1,In Wall Insulation,no capture,,,2025/07/07
AV ROOM 103,C,1,Overhead Duct Insulation,no capture,,,2025/07/07
AV ROOM 103,C,1,Overhead Duct Rough In,no capture,,,2025/07/07
AV ROOM 103,C,1,Overhead Plumbing,no capture,,,2025/07/07
AV ROOM 103,C,1,Wall Drywall,no capture,,2025/05/14,2025/07/07
AV ROOM 103,C,1,Wall Drywall Finish,no capture,,2025/05/14,2025/07/07
AV ROOM 103,C,1,Wall Prime Paint,no capture,2025/05/06,2025/06/06,2025/07/07
AV ROOM 103,C,1,In Wall Insulation,no capture,,,2025/07/17
AV ROOM 103,C,1,Overhead Duct Insulation,complete,,,2025/07/17
AV ROOM 103,C,1,Overhead Duct Rough In,no capture,,,2025/07/17
AV ROOM 103,C,1,Overhead Plumbing,not started,,,2025/07/17
AV ROOM 103,C,1,Wall Drywall,complete,,2025/05/14,2025/07/17
AV ROOM 103,C,1,Wall Drywall Finish,complete,,2025/05/14,2025/07/17
AV ROOM 103,C,1,Wall Prime Paint,complete,2025/05/06,2025/06/06,2025/07/17
AV ROOM 103,C,1,In Wall Insulation,no capture,,,2025/07/25
AV ROOM 103,C,1,Overhead Duct Insulation,complete,,,2025/07/25
AV ROOM 103,C,1,Overhead Duct Rough In,no capture,,,2025/07/25
AV ROOM 103,C,1,Overhead Plumbing,not started,,,2025/07/25
AV ROOM 103,C,1,Wall Drywall,complete,,2025/05/14,2025/07/25
AV ROOM 103,C,1,Wall Drywall Finish,complete,,2025/05/14,2025/07/25
AV ROOM 103,C,1,Wall Prime Paint,complete,2025/05/06,2025/06/06,2025/07/25
AV ROOM 103,C,1,In Wall Insulation,no capture,,,2025/08/01
AV ROOM 103,C,1,Overhead Duct Insulation,complete,,,2025/08/01
AV ROOM 103,C,1,Overhead Duct Rough In,no capture,,,2025/08/01
AV ROOM 103,C,1,Overhead Plumbing,not started,,,2025/08/01
AV ROOM 103,C,1,Wall Drywall,complete,,2025/05/14,2025/08/01
AV ROOM 103,C,1,Wall Drywall Finish,complete,,2025/05/14,2025/08/01
AV ROOM 103,C,1,Wall Prime Paint,complete,2025/05/06,2025/06/06,2025/08/01
AV ROOM 103,C,1,In Wall Insulation,no capture,,,2025/08/06
AV ROOM 103,C,1,Overhead Duct Insulation,complete,,,2025/08/06
AV ROOM 103,C,1,Overhead Duct Rough In,complete,,,2025/08/06
AV ROOM 103,C,1,Overhead Plumbing,no capture,,,2025/08/06
AV ROOM 103,C,1,Wall Drywall,complete,,2025/05/14,2025/08/06
AV ROOM 103,C,1,Wall Drywall Finish,complete,,2025/05/14,2025/08/06
AV ROOM 103,C,1,Wall Prime Paint,complete,2025/05/06,2025/06/06,2025/08/06
AV ROOM 103,C,1,In Wall Insulation,no capture,,,2025/08/08
AV ROOM 103,C,1,Overhead Duct Insulation,complete,,,2025/08/08
AV ROOM 103,C,1,Overhead Duct Rough In,complete,,,2025/08/08
AV ROOM 103,C,1,Overhead Plumbing,no capture,,,2025/08/08
AV ROOM 103,C,1,Wall Drywall,complete,,2025/05/14,2025/08/08
AV ROOM 103,C,1,Wall Drywall Finish,complete,,2025/05/14,2025/08/08
AV ROOM 103,C,1,Wall Prime Paint,complete,2025/05/06,2025/06/06,2025/08/08
AV ROOM 103,C,1,In Wall Insulation,no capture,,,2025/08/12
AV ROOM 103,C,1,Overhead Duct Insulation,complete,,,2025/08/12
AV ROOM 103,C,1,Overhead Duct Rough In,complete,,,2025/08/12
AV ROOM 103,C,1,Overhead Plumbing,no capture,,,2025/08/12
AV ROOM 103,C,1,Wall Drywall,complete,,2025/05/14,2025/08/12
AV ROOM 103,C,1,Wall Drywall Finish,complete,,2025/05/14,2025/08/12
AV ROOM 103,C,1,Wall Prime Paint,complete,2025/05/06,2025/06/06,2025/08/12
Background-159,A,1,Wall Drywall Finish,no capture,2025/06/13,2025/07/07,2025/04/11
Background-159,A,1,Wall Drywall,no capture,2025/06/06,2025/06/13,2025/04/11
Background-159,A,1,In Wall Insulation,no capture,2025/06/06,2025/06/13,2025/04/11
Background-159,A,1,Overhead Duct Insulation,no capture,2025/07/07,2025/07/17,2025/04/11
Background-159,A,1,Overhead Duct Rough In,no capture,2025/05/07,2025/08/01,2025/04/11
Background-159,A,1,Overhead Plumbing,no capture,,,2025/04/11
Background-159,A,1,Wall Prime Paint,no capture,,,2025/04/11
Background-159,A,1,Wall Drywall Finish,no capture,2025/06/13,2025/07/07,2025/04/25
Background-159,A,1,Wall Drywall,no capture,2025/06/06,2025/06/13,2025/04/25
Background-159,A,1,In Wall Insulation,no capture,2025/06/06,2025/06/13,2025/04/25
Background-159,A,1,Overhead Duct Insulation,no capture,2025/07/07,2025/07/17,2025/04/25
Background-159,A,1,Overhead Duct Rough In,no capture,2025/05/07,2025/08/01,2025/04/25
Background-159,A,1,Overhead Plumbing,no capture,,,2025/04/25
Background-159,A,1,Wall Prime Paint,no capture,,,2025/04/25
Background-159,A,1,Wall Drywall Finish,not started,2025/06/13,2025/07/07,2025/05/06
Background-159,A,1,Wall Drywall,not started,2025/06/06,2025/06/13,2025/05/06
Background-159,A,1,In Wall Insulation,not started,2025/06/06,2025/06/13,2025/05/06
Background-159,A,1,Overhead Duct Insulation,not started,2025/07/07,2025/07/17,2025/05/06
Background-159,A,1,Overhead Duct Rough In,not started,2025/05/07,2025/08/01,2025/05/06
Background-159,A,1,Overhead Plumbing,not started,,,2025/05/06
Background-159,A,1,Wall Prime Paint,not started,,,2025/05/06
Background-159,A,1,Wall Drywall Finish,not started,2025/06/13,2025/07/07,2025/05/07
Background-159,A,1,Wall Drywall,not started,2025/06/06,2025/06/13,2025/05/07
Background-159,A,1,In Wall Insulation,not started,2025/06/06,2025/06/13,2025/05/07
Background-159,A,1,Overhead Duct Insulation,not started,2025/07/07,2025/07/17,2025/05/07
Background-159,A,1,Overhead Duct Rough In,in progress,2025/05/07,2025/08/01,2025/05/07
Background-159,A,1,Overhead Plumbing,not started,,,2025/05/07
Background-159,A,1,Wall Prime Paint,not started,,,2025/05/07
Background-159,A,1,Wall Drywall Finish,not started,2025/06/13,2025/07/07,2025/05/14
Background-159,A,1,Wall Drywall,not started,2025/06/06,2025/06/13,2025/05/14
Background-159,A,1,In Wall Insulation,not started,2025/06/06,2025/06/13,2025/05/14
Background-159,A,1,Overhead Duct Insulation,not started,2025/07/07,2025/07/17,2025/05/14
Background-159,A,1,Overhead Duct Rough In,in progress,2025/05/07,2025/08/01,2025/05/14
Background-159,A,1,Overhead Plumbing,not started,,,2025/05/14
Background-159,A,1,Wall Prime Paint,not started,,,2025/05/14
Background-159,A,1,In Wall Insulation,not started,2025/06/06,2025/06/13,2025/05/30
Background-159,A,1,Overhead Duct Insulation,not started,2025/07/07,2025/07/17,2025/05/30
Background-159,A,1,Overhead Duct Rough In,in progress,2025/05/07,2025/08/01,2025/05/30
Background-159,A,1,Overhead Plumbing,not started,,,2025/05/30
Background-159,A,1,Wall Drywall,not started,2025/06/06,2025/06/13,2025/05/30
Background-159,A,1,Wall Drywall Finish,not started,2025/06/13,2025/07/07,2025/05/30
Background-159,A,1,Wall Prime Paint,not started,,,2025/05/30
Background-159,A,1,In Wall Insulation,in progress,2025/06/06,2025/06/13,2025/06/06
Background-159,A,1,Overhead Duct Insulation,not started,2025/07/07,2025/07/17,2025/06/06
Background-159,A,1,Overhead Duct Rough In,in progress,2025/05/07,2025/08/01,2025/06/06
Background-159,A,1,Overhead Plumbing,not started,,,2025/06/06
Background-159,A,1,Wall Drywall,in progress,2025/06/06,2025/06/13,2025/06/06
Background-159,A,1,Wall Drywall Finish,not started,2025/06/13,2025/07/07,2025/06/06
Background-159,A,1,Wall Prime Paint,not started,,,2025/06/06
Background-159,A,1,In Wall Insulation,complete,2025/06/06,2025/06/13,2025/06/13
Background-159,A,1,Overhead Duct Insulation,not started,2025/07/07,2025/07/17,2025/06/13
Background-159,A,1,Overhead Duct Rough In,in progress,2025/05/07,2025/08/01,2025/06/13
Background-159,A,1,Overhead Plumbing,not started,,,2025/06/13
Background-159,A,1,Wall Drywall,complete,2025/06/06,2025/06/13,2025/06/13
Background-159,A,1,Wall Drywall Finish,in progress,2025/06/13,2025/07/07,2025/06/13
Background-159,A,1,Wall Prime Paint,not started,,,2025/06/13
Background-159,A,1,In Wall Insulation,complete,2025/06/06,2025/06/13,2025/06/20
Background-159,A,1,Overhead Duct Insulation,not started,2025/07/07,2025/07/17,2025/06/20
Background-159,A,1,Overhead Duct Rough In,in progress,2025/05/07,2025/08/01,2025/06/20
Background-159,A,1,Overhead Plumbing,not started,,,2025/06/20
Background-159,A,1,Wall Drywall,complete,2025/06/06,2025/06/13,2025/06/20
Background-159,A,1,Wall Drywall Finish,in progress,2025/06/13,2025/07/07,2025/06/20
Background-159,A,1,Wall Prime Paint,not started,,,2025/06/20
Background-159,A,1,In Wall Insulation,complete,2025/06/06,2025/06/13,2025/07/07
Background-159,A,1,Overhead Duct Insulation,in progress,2025/07/07,2025/07/17,2025/07/07
Background-159,A,1,Overhead Duct Rough In,in progress,2025/05/07,2025/08/01,2025/07/07
Background-159,A,1,Overhead Plumbing,not started,,,2025/07/07
Background-159,A,1,Wall Drywall,complete,2025/06/06,2025/06/13,2025/07/07
Background-159,A,1,Wall Drywall Finish,complete,2025/06/13,2025/07/07,2025/07/07
Background-159,A,1,Wall Prime Paint,complete,,,2025/07/07
Background-159,A,1,In Wall Insulation,complete,2025/06/06,2025/06/13,2025/07/17
Background-159,A,1,Overhead Duct Insulation,complete,2025/07/07,2025/07/17,2025/07/17
Background-159,A,1,Overhead Duct Rough In,in progress,2025/05/07,2025/08/01,2025/07/17
Background-159,A,1,Overhead Plumbing,not started,,,2025/07/17
Background-159,A,1,Wall Drywall,complete,2025/06/06,2025/06/13,2025/07/17
Background-159,A,1,Wall Drywall Finish,complete,2025/06/13,2025/07/07,2025/07/17
Background-159,A,1,Wall Prime Paint,complete,,,2025/07/17
Background-159,A,1,In Wall Insulation,complete,2025/06/06,2025/06/13,2025/07/25
Background-159,A,1,Overhead Duct Insulation,complete,2025/07/07,2025/07/17,2025/07/25
Background-159,A,1,Overhead Duct Rough In,in progress,2025/05/07,2025/08/01,2025/07/25
Background-159,A,1,Overhead Plumbing,not started,,,2025/07/25
Background-159,A,1,Wall Drywall,complete,2025/06/06,2025/06/13,2025/07/25
Background-159,A,1,Wall Drywall Finish,complete,2025/06/13,2025/07/07,2025/07/25
Background-159,A,1,Wall Prime Paint,complete,,,2025/07/25
Background-159,A,1,In Wall Insulation,complete,2025/06/06,2025/06/13,2025/08/01
Background-159,A,1,Overhead Duct Insulation,complete,2025/07/07,2025/07/17,2025/08/01
Background-159,A,1,Overhead Duct Rough In,complete,2025/05/07,2025/08/01,2025/08/01
Background-159,A,1,Overhead Plumbing,not started,,,2025/08/01
Background-159,A,1,Wall Drywall,complete,2025/06/06,2025/06/13,2025/08/01
Background-159,A,1,Wall Drywall Finish,complete,2025/06/13,2025/07/07,2025/08/01
Background-159,A,1,Wall Prime Paint,complete,,,2025/08/01
Background-159,A,1,In Wall Insulation,complete,2025/06/06,2025/06/13,2025/08/06
Background-159,A,1,Overhead Duct Insulation,complete,2025/07/07,2025/07/17,2025/08/06
Background-159,A,1,Overhead Duct Rough In,complete,2025/05/07,2025/08/01,2025/08/06
Background-159,A,1,Overhead Plumbing,not started,,,2025/08/06
Background-159,A,1,Wall Drywall,complete,2025/06/06,2025/06/13,2025/08/06
Background-159,A,1,Wall Drywall Finish,complete,2025/06/13,2025/07/07,2025/08/06
Background-159,A,1,Wall Prime Paint,complete,,,2025/08/06
Background-159,A,1,In Wall Insulation,complete,2025/06/06,2025/06/13,2025/08/08
Background-159,A,1,Overhead Duct Insulation,complete,2025/07/07,2025/07/17,2025/08/08
Background-159,A,1,Overhead Duct Rough In,complete,2025/05/07,2025/08/01,2025/08/08
Background-159,A,1,Overhead Plumbing,not started,,,2025/08/08
Background-159,A,1,Wall Drywall,complete,2025/06/06,2025/06/13,2025/08/08
